uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
1957842,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-01 00:00,-87.679356,41.760455,residence,residence,170316610002002
1958151,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-01 01:20,-87.633866,41.845496,vehicle parking,open space,170313404001004
1958164,Chicago,12A,personal robbery,robbery,property,2012-01-01 01:30,-87.638975,41.790773,street,street,170318346001013
1958184,Chicago,13B,simple assault,assault offenses,persons,2012-01-01 01:55,-87.661576,41.771624,residence,residence,170316716003012
1958359,Chicago,13B,simple assault,assault offenses,persons,2012-01-01 04:00,-87.650138,41.799021,street,street,170316121001010
1958443,Chicago,12A,personal robbery,robbery,property,2012-01-01 06:25,-87.761906,41.947994,street,street,170311507002005
1958537,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-01 09:00,-87.70109,41.792586,other,other,170316308001011
1958776,Chicago,22B,non-residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-01 13:18,-87.700719,42.004835,school,education,170310203013025
1958909,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-01 17:00,-87.655508,41.771769,other,other,170318349002021
1959034,Chicago,90Z,all other offenses,all other offenses,other,2012-01-01 20:00,-87.613952,41.761233,residence,residence,170316909005010
1959201,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-02 00:30,-87.666381,41.90746,residence,residence,170312416001006
1959270,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-02 05:30,-87.647502,41.742495,residence,residence,170317110002005
1959489,Chicago,13B,simple assault,assault offenses,persons,2012-01-02 14:00,-87.637936,41.70563,residence,residence,170314911001008
1959513,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-02 14:30,-87.634051,41.926524,street,street,170310701013006
1959612,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-02 17:10,-87.660111,41.861553,residence,residence,170318429003015
1959640,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-02 18:00,-87.624194,41.892753,restaurant,leisure,170310814032006
1959718,Chicago,90Z,all other offenses,all other offenses,other,2012-01-02 19:20,-87.676371,41.871107,residence,residence,170318382001019
1959869,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-02 23:40,-87.686247,41.99847,street,street,170310205004010
1960052,Chicago,26B,credit card/automated teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-03 09:00,-87.618607,41.70597,street,street,170314909022016
1960088,Chicago,90Z,all other offenses,all other offenses,other,2012-01-03 10:13,-87.727096,41.846045,street,street,170313018022015
1960275,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-03 14:43,-87.639235,41.868542,other,other,170318419002024
1960314,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-03 15:30,-87.604749,41.733551,street,street,170314407001019
1960356,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-03 16:12,-87.672436,41.769357,street,street,170316713003010
1960615,Chicago,520,weapon law violations,weapon law violations,society,2012-01-03 21:40,-87.763897,41.904261,street,street,170312507005020
1960656,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-03 23:00,-87.615568,41.777967,residence,residence,170314207005009
1960827,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-04 08:42,-87.706646,41.872771,street,street,170318373002004
1960838,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-04 09:00,-87.735497,41.970477,residence,residence,170311404002011
1960854,Chicago,90Z,all other offenses,all other offenses,other,2012-01-04 09:24,-87.761525,41.897622,residence,residence,170312512003003
1960855,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-04 09:25,-87.690371,41.802176,residence,residence,170316302001025
1961007,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-04 14:00,-87.622238,41.723125,street,street,170314903002024
1961108,Chicago,22B,non-residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-04 16:00,-87.641772,41.757406,abandoned,other,170316813001019
1961273,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-04 19:15,-87.614436,41.828762,other,other,170313511001003
1961283,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-04 19:30,-87.636978,41.880304,bar/club,leisure,170318391002002
1961318,Chicago,13B,simple assault,assault offenses,persons,2012-01-04 20:00,-87.536112,41.722417,residence,residence,170315201001028
1961345,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-04 20:30,-87.710022,41.938262,street,street,170312106011002
1961424,Chicago,13B,simple assault,assault offenses,persons,2012-01-04 22:05,-87.694248,41.896145,residence,residence,170312426003010
1961427,Chicago,13B,simple assault,assault offenses,persons,2012-01-04 22:23,-87.736888,41.934423,residence,residence,170312001002011
1961486,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-05 00:01,-87.672569,41.967528,private vehicle,vehicle,170310318001007
1961665,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-05 09:00,-87.726871,41.909878,office,commercial,170312306001000
1961833,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-05 14:00,-87.685081,41.881184,street,street,170318378001043
1962286,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-05 22:50,-87.640803,41.77731,other,other,170316809004029
1962326,Chicago,520,weapon law violations,weapon law violations,society,2012-01-05 23:29,-87.747799,41.909602,street,street,170312508001000
1962427,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-06 03:00,-87.61552,41.776019,residence,residence,170314207005010
1962439,Chicago,13B,simple assault,assault offenses,persons,2012-01-06 03:30,-87.687089,41.905298,residence,residence,170312411001012
1962509,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-06 08:00,-87.624398,41.69257,vehicle parking,open space,170314910002033
1962772,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-06 15:00,-87.704157,41.870063,residence,residence,170318373001021
1962886,Chicago,13B,simple assault,assault offenses,persons,2012-01-06 17:30,-87.702969,41.859837,healthcare,healthcare,170318431001024
1962895,Chicago,90Z,all other offenses,all other offenses,other,2012-01-06 17:55,-87.61188,41.774028,residence,residence,170314207003007
1962936,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-06 18:30,-87.689431,41.767466,street,street,170316609003031
1962970,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-06 19:10,-87.624341,41.879079,restaurant,leisure,170313204001015
1963160,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-06 22:00,-87.665997,41.990849,private vehicle,vehicle,170310302003015
1963168,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-06 22:20,-87.6382,41.658325,street,street,170315305031040
1963186,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-06 22:40,-87.692553,41.906618,street,street,170312410001009
1963195,Chicago,13B,simple assault,assault offenses,persons,2012-01-06 23:00,-87.582397,41.764034,street,street,170314305003013
1963454,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-07 07:25,-87.682506,42.010674,residence,residence,170310204001004
1963506,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-07 10:00,-87.787378,41.940933,street,street,170311710002002
1963513,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-07 10:00,-87.606722,41.817517,street,street,170318364003027
1963528,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-07 10:35,-87.656024,41.791668,residence,residence,170316701001010
1963626,Chicago,520,weapon law violations,weapon law violations,society,2012-01-07 13:13,-87.619651,41.701004,street,street,170314909022049
1963650,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-07 13:50,-87.571325,41.763596,residence,residence,170314306002008
1963654,Chicago,13B,simple assault,assault offenses,persons,2012-01-07 14:00,-87.661381,41.89523,residence,residence,170312434001022
1963694,Chicago,12A,personal robbery,robbery,property,2012-01-07 15:00,-87.723615,41.87438,street,street,170312608002015
1963730,Chicago,13B,simple assault,assault offenses,persons,2012-01-07 15:45,-87.733273,41.857834,residence,residence,170312925004004
1963955,Chicago,12A,personal robbery,robbery,property,2012-01-07 20:07,-87.620126,41.707752,street,street,170314908005018
1963986,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-07 21:00,-87.589329,41.745001,residence,residence,170318343006035
1963995,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-07 21:00,-87.753299,41.901088,residence,residence,170312511004004
1964083,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-07 23:30,-87.652589,41.859824,street,street,170313104001002
1964105,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-08 00:00,-87.743038,41.929559,residence,residence,170311909001004
1964165,Chicago,11U,sexual assault by penetration (including rape),sex offenses,persons,2012-01-08 01:00,-87.622937,41.888165,hotel,hotel,170313201002019
1964282,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-08 05:00,-87.605227,41.752224,street,street,170316915003005
1964739,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-08 19:30,-87.658097,41.986181,residence,residence,170310306032002
1964913,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-09 00:01,-87.628312,41.764632,gas station,retail,170316911004000
1964933,Chicago,09A,murder and nonnegligent manslaughter,homicide offenses,persons,2012-01-09 00:18,-87.752379,41.921464,residence,residence,170311911005006
1964990,Chicago,90Z,all other offenses,all other offenses,other,2012-01-09 03:40,-87.794215,41.929959,residence,residence,170318316001003
1965016,Chicago,13B,simple assault,assault offenses,persons,2012-01-09 05:50,-87.669729,41.980346,residence,residence,170310309002016
1965080,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-09 08:00,-87.659089,41.860296,street,street,170318429001012
1965137,Chicago,26B,credit card/automated teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-09 09:00,-87.657933,41.726102,residence,residence,170317302015004
1965144,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-09 09:00,-87.785231,41.78582,residence,residence,170315610002012
1965353,Chicago,90Z,all other offenses,all other offenses,other,2012-01-09 14:00,-87.776806,41.983753,residence,residence,170311101003014
1965746,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-09 23:00,-87.564452,41.725286,street,street,170314805002042
1965786,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-10 00:00,-87.667853,41.764862,residence,residence,170316720002000
1965793,Chicago,26A,false pretenses/swindle/confidence game,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-10 00:00,-87.566432,41.761793,residence,residence,170314313021003
1965836,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-10 01:50,-87.696684,41.895011,street,street,170318367002002
1965914,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-10 07:38,-87.714574,41.874491,street,street,170312714001028
1965939,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-10 08:30,-87.707672,42.01734,street,street,170310202003017
1965987,Chicago,250,counterfeiting/forgery,counterfeiting/forgery,property,2012-01-10 09:00,-87.632339,41.881066,office,commercial,170318391001068
1966023,Chicago,26A,false pretenses/swindle/confidence game,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-10 10:00,-87.658967,41.925284,other,other,170318325002000
1966214,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-10 14:30,-87.738907,41.921233,residence,residence,170312004012009
1966387,Chicago,12A,personal robbery,robbery,property,2012-01-10 17:50,-87.765719,41.887741,street,street,170312514004000
1966391,Chicago,90Z,all other offenses,all other offenses,other,2012-01-10 17:54,-87.646266,41.837651,street,street,170318398001002
1966686,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-11 00:01,-87.76201,41.891768,residence,residence,170312515004002
1966712,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-11 00:51,-87.665114,41.905652,street,street,170312416002002
1966772,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-11 06:25,-87.621553,41.895775,healthcare,healthcare,170310814011001
1966841,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-11 08:30,-87.786343,41.945075,street,street,170311711003000
1967169,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-11 15:35,-87.703406,41.692673,street,street,170317403002029
1967275,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-11 18:00,-87.70907,41.922019,street,street,170312211001007
1967412,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-11 20:19,-87.754798,41.872558,street,street,170318314001006
1967488,Chicago,13B,simple assault,assault offenses,persons,2012-01-11 22:00,-87.72069,41.879239,residence,residence,170312705001008
1967633,Chicago,13B,simple assault,assault offenses,persons,2012-01-12 02:45,-87.76338,41.876552,street,street,170312521022003
1967715,Chicago,40C,purchasing prostitution,prostitution offenses,society,2012-01-12 07:57,-87.645366,41.787019,street,street,170318347001020
1968080,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-12 18:00,-87.555307,41.756705,residence,residence,170314314002007
1968171,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-12 20:00,-87.702038,41.880559,residence,residence,170312712001008
1968255,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-12 22:20,-87.666535,41.921956,private vehicle,vehicle,170318325001013
1968311,Chicago,90Z,all other offenses,all other offenses,other,2012-01-13 00:01,-87.713724,41.769688,residence,residence,170316504001000
1968320,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-13 00:30,-87.666933,42.004454,residence,residence,170310106001018
1968327,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-13 01:00,-87.665191,41.961643,street,street,170310317004007
1968401,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-13 07:15,-87.717231,41.756455,street,street,170317002001006
1968446,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-13 08:45,-87.633738,41.90768,street,street,170310803004000
1968514,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-13 10:55,-87.662381,41.964587,street,street,170310317003002
1968602,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-13 13:40,-87.747724,41.911435,residence,residence,170312502002004
1968643,Chicago,13B,simple assault,assault offenses,persons,2012-01-13 14:43,-87.73068,41.884187,school,education,170312603001015
1968867,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-13 19:40,-87.722704,41.865207,street,street,170318387003005
1969237,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-14 08:30,-87.623822,41.784564,school,education,170314008002003
1969300,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-14 10:58,-87.700028,41.975808,healthcare,healthcare,170310403003000
1969321,Chicago,26A,false pretenses/swindle/confidence game,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-14 11:30,-87.591403,41.733189,residence,residence,170314803001009
1969432,Chicago,90Z,all other offenses,all other offenses,other,2012-01-14 14:30,-87.744572,41.891397,street,street,170312517001032
1969456,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-14 15:00,-87.686155,41.870866,residence,residence,170312828001014
1969461,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-14 15:06,-87.587459,41.76149,street,street,170314304003014
1969636,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-14 19:44,-87.623782,41.722968,gas station,retail,170314903002026
1969696,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-14 20:52,-87.682479,42.019464,street,street,170310102012006
1969827,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-15 00:00,-87.658827,41.884155,street,street,170318330002065
1969828,Chicago,13B,simple assault,assault offenses,persons,2012-01-15 00:00,-87.649366,41.943109,bar/club,leisure,170310621001006
1969872,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-15 00:30,-87.737561,41.788492,residence,residence,170316203006014
1969913,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-15 01:41,-87.629309,41.903932,bar/club,leisure,170310802023004
1969974,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-15 03:30,-87.640683,41.941188,street,street,170310619022004
1970309,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-15 16:00,-87.565562,41.763991,street,street,170314307002007
1970445,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-15 19:46,-87.683873,41.770149,street,street,170316609001000
1970520,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-15 21:35,-87.706462,41.892353,street,street,170318367001019
1970597,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-16 00:00,-87.733902,41.885925,other,other,170312603001009
1970605,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-16 00:00,-87.642716,41.941162,residence,residence,170310619014000
1970641,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-16 01:00,-87.750939,41.905277,other,other,170312508002002
1970670,Chicago,12A,personal robbery,robbery,property,2012-01-16 02:12,-87.736529,41.881915,street,street,170312604001030
1970683,Chicago,13B,simple assault,assault offenses,persons,2012-01-16 03:30,-87.635628,41.893677,bar/club,leisure,170310818002037
1970710,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-16 06:15,-87.773731,41.898376,street,street,170312513005010
1970814,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-16 10:28,-87.671838,41.792932,residence,residence,170316704001008
1970941,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-16 13:00,-87.657602,41.673422,residence,residence,170315304002014
1971083,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-16 16:10,-87.643013,41.874363,other,other,170318419001052
1971100,Chicago,26B,credit card/automated teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-16 16:49,-87.750382,41.878531,residence,residence,170312522011006
1971184,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-16 19:00,-87.653778,41.798774,street,street,170316120001008
1971228,Chicago,13B,simple assault,assault offenses,persons,2012-01-16 19:55,-87.759939,41.909447,street,street,170312503002014
1971250,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-16 20:00,-87.585393,41.794556,vehicle parking,open space,170314110003001
1971310,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-16 21:30,-87.754841,41.921468,street,street,170311911005015
1971353,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-16 22:29,-87.654213,41.857989,street,street,170313106001021
1971385,Chicago,90Z,all other offenses,all other offenses,other,2012-01-16 23:00,-87.74676,41.972168,other retail,retail,170311404005025
1971527,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-17 06:50,-87.598496,41.774303,residence,residence,170318344003011
1971684,Chicago,23A,pocket-picking,larceny/theft offenses,property,2012-01-17 10:00,-87.711903,41.91757,bus,transportation,170312211003021
1972036,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-17 18:00,-87.687415,41.917797,restaurant,leisure,170312216002032
1972067,Chicago,13B,simple assault,assault offenses,persons,2012-01-17 18:40,-87.698037,41.813218,residence,residence,170315805022005
1972522,Chicago,13B,simple assault,assault offenses,persons,2012-01-18 11:30,-87.586502,41.782102,school,education,170314201001023
1972670,Chicago,13B,simple assault,assault offenses,persons,2012-01-18 14:55,-87.736084,41.946542,school,education,170311611002016
1972694,Chicago,90Z,all other offenses,all other offenses,other,2012-01-18 15:15,-87.624346,41.804847,school,education,170313818001010
1972752,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-18 16:30,-87.602857,41.658682,residence,residence,170315401022008
1972791,Chicago,13B,simple assault,assault offenses,persons,2012-01-18 17:45,-87.620794,41.694309,street,street,170314909012023
1972824,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-18 18:20,-87.74148,41.788987,airport,transportation,170319801001008
1972833,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-01-18 18:30,-87.624276,41.895978,other retail,retail,170310814011000
1972850,Chicago,13C,intimidation,assault offenses,persons,2012-01-18 19:00,-87.766151,41.799323,residence,residence,170315608001005
1972914,Chicago,26A,false pretenses/swindle/confidence game,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-18 20:10,-87.705924,41.87406,rapid transit,transportation,170312713001033
1972964,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-18 21:00,-87.786784,41.958903,vehicle parking,open space,170311505021006
1972983,Chicago,90Z,all other offenses,all other offenses,other,2012-01-18 21:54,-87.696694,41.809601,private vehicle,vehicle,170318428005007
1972994,Chicago,22B,non-residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-18 22:00,-87.660083,41.984137,other,other,170310306031003
1973212,Chicago,26C,impersonation,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-19 09:00,-87.60714,41.751253,office,commercial,170316914002013
1973446,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-19 14:37,-87.760646,41.885779,street,street,170312519003007
1973504,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-19 16:00,-87.558177,41.759408,residence,residence,170314314002003
1973563,Chicago,23A,pocket-picking,larceny/theft offenses,property,2012-01-19 17:30,-87.639586,41.878931,street,street,170312819001002
1973740,Chicago,13C,intimidation,assault offenses,persons,2012-01-19 22:00,-87.653721,41.707577,street,street,170317306002031
1974250,Chicago,13B,simple assault,assault offenses,persons,2012-01-20 17:00,-87.684372,41.92981,vehicle parking,open space,170318309001006
1974330,Chicago,13B,simple assault,assault offenses,persons,2012-01-20 19:30,-87.712857,41.928307,street,street,170312206022002
1974376,Chicago,13B,simple assault,assault offenses,persons,2012-01-20 20:45,-87.758903,41.884856,residence,residence,170312519001005
1974577,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-21 05:00,-87.600261,41.748699,residence,residence,170314401011009
1974631,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-21 09:15,-87.663833,41.81161,residence,residence,170318426002051
1974847,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-21 15:00,-87.642569,41.788369,residence,residence,170318347003028
1974853,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-21 15:20,-87.906463,41.979006,airport,transportation,170319800001010
1974963,Chicago,13B,simple assault,assault offenses,persons,2012-01-21 18:40,-87.624091,41.898041,other,other,170310813006001
1975006,Chicago,40B,assisting or promoting prostitution,prostitution offenses,society,2012-01-21 19:44,-87.748188,41.960713,office,commercial,170311502002032
1975112,Chicago,12B,commercial robbery,robbery,property,2012-01-21 21:57,-87.612823,41.743841,convenience store,retail,170314402021010
1975174,Chicago,13B,simple assault,assault offenses,persons,2012-01-21 23:30,-87.692384,41.919864,bar/club,leisure,170312214003001
1975180,Chicago,13B,simple assault,assault offenses,persons,2012-01-21 23:43,-87.656096,41.747908,residence,residence,170317107002010
1975181,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-21 23:45,-87.641153,41.69184,residence,residence,170314912003004
1975221,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-22 01:00,-87.623872,41.855127,private vehicle,vehicle,170313301004047
1975244,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-22 02:00,-87.648607,41.920988,bar/club,leisure,170310711001016
1975345,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-22 07:05,-87.676811,41.751206,rapid transit,transportation,170317104006001
1975374,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-22 09:00,-87.66708,41.965268,residence,residence,170310318001015
1975426,Chicago,13B,simple assault,assault offenses,persons,2012-01-22 10:55,-87.756913,41.887283,residence,residence,170312519002001
1975497,Chicago,23H,other theft,larceny/theft offenses,property,2012-01-22 12:30,-87.769871,41.956796,school,education,170311504021004
1975730,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-22 19:35,-87.553914,41.725778,street,street,170314805002008
1975758,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-22 20:15,-87.718152,41.90274,vehicle parking,open space,170312312001002
1975832,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-22 22:20,-87.73651,41.922994,street,street,170312003002010
1975951,Chicago,13B,simple assault,assault offenses,persons,2012-01-23 06:20,-87.61702,41.893455,restaurant,leisure,170310814012015
1976090,Chicago,26A,false pretenses/swindle/confidence game,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-23 10:20,-87.627897,41.884013,other transportation,transportation,170318391001039
1976092,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-23 10:30,-87.700299,41.761937,residence,residence,170316611003014
1976563,Chicago,90J,trespass of real property,trespass of real property,society,2012-01-23 20:05,-87.690371,41.802214,residence,residence,170316302001025
1976699,Chicago,23D,theft from building,larceny/theft offenses,property,2012-01-24 00:00,-87.632973,41.872162,other,other,170318390002001
1976732,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-24 01:00,-87.692781,41.93275,street,street,170312109002004
1976810,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-24 07:00,-87.600901,41.744027,street,street,170314401021005
1976856,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-24 08:30,-87.600259,41.748625,residence,residence,170314401011009
1976909,Chicago,90Z,all other offenses,all other offenses,other,2012-01-24 09:30,-87.700067,41.842131,residence,residence,170318435001027
1977049,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-01-24 13:00,-87.707836,41.947215,residence,residence,170311607004006
1977113,Chicago,13A,aggravated assault,assault offenses,persons,2012-01-24 14:00,-87.735883,41.928001,school,education,170312002002004
1977501,Chicago,12B,commercial robbery,robbery,property,2012-01-24 21:20,-87.701257,41.875928,gas station,retail,170312712001031
1977593,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-25 00:00,-87.696161,41.992216,residence,residence,170310208022002
1977714,Chicago,26B,credit card/automated teller machine fraud,fraud offenses (except counterfeiting/forgery and bad checks),property,2012-01-25 07:08,-87.709213,41.946616,finance,commercial,170311608002004
1977885,Chicago,13B,simple assault,assault offenses,persons,2012-01-25 11:30,-87.720764,41.881089,residence,residence,170312601001021
1977894,Chicago,13B,simple assault,assault offenses,persons,2012-01-25 11:50,-87.668978,41.77513,school,education,170316712002010
1978325,Chicago,90Z,all other offenses,all other offenses,other,2012-01-25 19:00,-87.665496,41.782176,residence,residence,170316707002002
1978501,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-25 22:08,-87.613148,41.777716,street,street,170314207004009
1978752,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-01-26 09:00,-87.657434,41.755924,street,street,170317102005001
1978796,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-01-26 10:13,-87.586115,41.757614,supermarket,retail,170318342004016
1978832,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-26 11:05,-87.654943,41.797189,street,street,170316119002015
1978883,Chicago,13B,simple assault,assault offenses,persons,2012-01-26 12:00,-87.668808,41.769654,street,street,170316713002013
1978937,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-01-26 13:11,-87.651405,41.800911,street,street,170316120001000
1979374,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-01-26 21:35,-87.53408,41.703728,residence,residence,170315204004014
