uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
2046796,Chicago,200,arson,arson,property,2012-04-13 00:36,-87.722184,41.846991,private vehicle,vehicle,170313005002003
2046860,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-04-13 03:04,-87.755587,41.876651,gas station,retail,170312521022000
2046909,Chicago,13B,simple assault,assault offenses,persons,2012-04-13 07:09,-87.649979,41.964232,residence,residence,170310314006004
2046984,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-04-13 09:25,-87.644655,41.774685,street,street,170316810002000
2046988,Chicago,90Z,all other offenses,all other offenses,other,2012-04-13 09:30,-87.635437,41.749791,residence,residence,170318424003014
2047125,Chicago,39B,operating/promoting/assisting gambling,gambling offenses,society,2012-04-13 12:45,-87.766548,41.891595,street,street,170312514002003
2047132,Chicago,23H,other theft,larceny/theft offenses,property,2012-04-13 13:00,-87.624097,41.897895,other retail,retail,170310812012006
2047208,Chicago,13B,simple assault,assault offenses,persons,2012-04-13 14:30,-87.707164,41.862944,residence,residence,170318415001020
2047356,Chicago,13B,simple assault,assault offenses,persons,2012-04-13 17:45,-87.594984,41.730832,street,street,170314701002003
2047477,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-04-13 19:35,-87.70413,41.854876,residence,residence,170318431002016
2047485,Chicago,13B,simple assault,assault offenses,persons,2012-04-13 19:43,-87.642865,41.869711,gas station,retail,170318419002020
