country,polity,v2cltort,v2clkill,v2clslavem,v2clslavef,v2cltrnslw,v2clrspct,v2clacjstm,v2clacjstw,v2clacjust,v2clsocgrp,v2cldiscm,v2cldiscw,v2clacfree,v2clrelig,v2clfmove,v2cldmovem,v2cldmovew,v2clstown,v2clprptym,v2clprptyw,v2clgencl,v2clgeocl,v2clpolcl
Afghanistan,-6.901960784313726,-0.93776,-0.8470533333333333,-0.6708933333333333,0.8769733333333334,-1.11944,-0.7509333333333333,-0.89408,-1.2683733333333334,0.05876000000000001,-0.9239066666666667,-0.7939466666666667,-0.9171333333333334,-0.5722933333333333,-1.2069466666666666,-0.6702133333333333,-1.0420533333333333,-1.9350533333333333,-0.8804133333333333,-0.4706933333333333,-1.6805466666666666,-1.90832,-1.2367333333333335,-0.11006666666666666
Albania,-2.7972972972972974,-0.6538666666666667,-1.2543866666666668,-1.11312,-0.8906933333333333,-0.48488,-0.9068799999999999,-1.3990133333333332,-0.4348266666666667,1.2193733333333334,2.033333333333333,-1.1719866666666665,-0.6861999999999999,-0.9780933333333333,-1.0988533333333332,-1.8860133333333333,-1.8312133333333334,-2.1242,-1.8191466666666665,-1.6079333333333334,-1.4634133333333332,0.6833066666666666,0.4048933333333334,-0.8659333333333332
Algeria,-4.631578947368421,0.15168,-0.17270666666666665,0.9225333333333333,0.30389333333333335,-1.1769733333333334,-1.0861866666666666,0.15526666666666666,0.19176,0.9894266666666667,0.37716,-0.10229333333333336,-0.09782666666666669,-0.78512,-1.4883199999999999,-0.5900133333333333,1.2092133333333335,-1.2187999999999999,-2.227586666666667,-0.72292,0.21517333333333336,0.19154666666666664,-0.18550666666666665,0.09895999999999998
Angola,-3.8636363636363638,-1.5402799999999999,-1.5172533333333333,-1.2387066666666666,-1.2832533333333334,-0.92996,-1.36696,-1.6420133333333333,-1.5122,-1.6967333333333334,-1.3909066666666667,-1.7320666666666666,-1.5273066666666666,-1.32808,0.19737333333333335,-1.3953733333333334,-1.79712,-1.4942266666666666,-1.3405733333333332,-1.1688933333333333,-1.3690666666666667,-0.5608266666666666,-0.9912000000000001,-1.2934453333333333
Argentina,0.9459459459459459,0.35024,0.44516000000000006,1.3509333333333333,1.4204933333333334,-0.8632266666666667,-0.13544,0.18974666666666665,0.3005466666666667,1.0181066666666667,1.2223066666666667,0.9029866666666667,0.8206266666666666,0.6101066666666667,1.63956,1.5122266666666666,1.3879066666666666,1.35,0.8046800000000001,1.4610933333333334,1.7871733333333333,1.7199466666666665,0.17509333333333332,1.0187066666666666
Armenia,4.5,0.2685666666666667,1.0158333333333334,1.5273666666666665,1.3982999999999999,0.7090666666666666,-0.25106666666666666,0.5671333333333334,0.7302333333333333,1.3545666666666667,1.5537,1.6698333333333333,1.5267,0.9244666666666667,0.5811999999999999,1.5314333333333332,2.0178666666666665,2.0541,1.4280666666666666,1.758,1.7568333333333332,1.5386666666666668,0.6037333333333333,1.0076
Australia,10,2.6149733333333334,2.56892,2.2280533333333334,1.9843733333333333,3.1654666666666667,3.0256666666666665,2.83092,2.66784,1.7125333333333335,1.0189333333333335,2.436986666666667,2.4916,2.2089866666666667,1.93108,1.85648,1.1872133333333332,1.32044,1.20784,1.5919466666666668,1.91448,1.4329333333333334,1.5066586666666666,2.4083893333333335
Austria,9.932432432432432,2.02496,2.4702,1.82704,1.9612266666666667,2.2607999999999997,2.1696,2.1735599999999997,2.1350533333333335,2.3218799999999997,2.1578133333333334,2.137426666666667,2.262226666666667,2.0097733333333334,1.3946666666666667,1.8947733333333332,1.2099066666666667,1.4854933333333333,0.15162666666666672,2.1345199999999998,2.2920133333333332,1.763251182795699,1.5217061505376344,1.9666683440860215
Azerbaijan,-6.178571428571429,-1.2086999999999999,0.5484666666666667,0.3688,0.4126333333333333,-1.2025333333333332,-1.1295666666666666,-0.7412,-0.6209,0.7689666666666667,1.0526,-0.02143333333333334,0.13896666666666668,-1.2333333333333334,-0.3216333333333333,0.49500000000000005,0.7462333333333333,1.0835,-0.5633333333333334,0.15446666666666667,0.4843,1.119,-1.5760333333333334,-1.4822333333333333
Bahrain,-9.020833333333334,-0.6272266666666667,-0.08397333333333332,0.87124,0.026760000000000003,-0.44742666666666664,-0.43345333333333336,-0.5577866666666667,-0.1954533333333333,0.42216,-0.79608,-0.5927066666666666,-0.44248,-0.8980400000000001,-0.2593333333333333,-0.39577333333333337,-0.32513333333333333,-0.3918933333333333,-2.021,0.94816,1.3664,-1.1139333333333332,-0.82808,-1.7889333333333333
Bangladesh,0.6382978723404256,-0.5277142857142857,-0.6043877551020408,1.1683061224489795,0.6291020408163265,0.24736734693877552,-1.1498163265306123,-0.08544897959183674,-0.1550408163265306,-0.8421836734693877,-0.9408571428571428,-0.5345102040816326,-0.547795918367347,0.5776530612244898,1.3865102040816326,0.710469387755102,1.714204081632653,-0.38477551020408163,0.5144285714285715,1.5678775510204082,1.9979795918367347,-0.20012244897959183,-1.342265306122449,-1.0371020408163265
Barbados,5.709383753501401,1.5713866666666667,2.272746666666667,1.4864,0.3605066666666667,1.23092,1.3274533333333334,1.53464,1.2992,1.2055866666666666,1.01804,1.6154933333333332,1.2712933333333334,0.45634666666666673,1.4391866666666666,1.63752,1.0845866666666668,1.26424,0.5496800000000001,1.16276,1.157,2.1074266666666666,1.6349466666666668,1.1408800000000001
